tile_id,F10m_download
10N_070E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_070E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_070W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_070W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_080E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_080E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_090E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_090E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_090W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_090W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_100E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_100E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_100W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_100W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_110E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_110E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_120E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_120E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10N_130E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10N_130E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_010E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_010E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_020E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_020E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_040E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_040E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_040W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_040W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_050E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_050E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_050W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_050W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_060W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_060W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_070W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_070W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_110E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_110E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_120E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_120E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_130E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_130E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_140E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_140E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_150E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_150E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_160E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_160E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
10S_170E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=10S_170E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_000E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_000E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_010E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_010E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_010W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_010W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_020E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_020E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_020W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_020W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_040E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_040E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_060W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_060W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_070E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_070E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_070W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_070W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_080E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_080E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_090E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_090E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_090W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_090W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_100E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_100E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_100W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_100W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_110E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_110E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_110W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_110W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20N_120E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20N_120E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_010E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_010E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_020E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_020E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_040E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_040E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_050W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_050W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_060W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_060W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_070W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_070W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_140E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_140E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_150E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_150E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
20S_160E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=20S_160E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_000E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_000E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_010W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_010W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_020W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_020W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_040E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_040E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_060E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_060E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_070E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_070E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_080E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_080E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_090E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_090E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_090W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_090W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_100E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_100E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_100W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_100W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_110E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_110E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_110W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_110W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30N_120E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30N_120E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30S_010E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30S_010E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30S_020E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30S_020E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
30S_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=30S_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c
